34.869377 -89.7695793
script.js:115 34.7224174 -89.7048083
script.js:115 34.7224174 -89.7048083
script.js:115 34.7092413 -89.87970849999999
script.js:115 34.7454757 -90.0090774
script.js:115 35.0622408 -90.0540178
script.js:115 34.8417149 -89.9912835
script.js:115 34.9098339 -89.8458958
script.js:115 34.9899884 -89.9237254
script.js:115 34.7805528 -89.9644885
script.js:115 34.9213981 -89.90693
script.js:115 35.1178929 -89.86739899999999
script.js:115 34.7591175 -90.0230065
script.js:115 34.635597 -89.9892982
script.js:115 35.3886703 -89.8447776
script.js:115 34.977416 -90.0917066
script.js:115 34.9793447 -90.0993082
script.js:115 35.2852061 -90.0241152
script.js:115 34.8240831 -90.19148539999999
script.js:115 35.2240804 -89.4293759
script.js:115 35.2515374 -89.9296611
script.js:115 34.85049600000001 -89.99136539999999
script.js:115 34.8323042 -89.7168781
script.js:115 34.8246326 -89.9976113
script.js:115 34.8151136 -90.1865286
script.js:115 34.8617857 -89.73944569999999
script.js:115 34.887391 -89.83841939999999
script.js:115 34.8203229 -89.9522677
script.js:115 34.7295611 -89.73183870000001
script.js:115 34.9846408 -89.95975659999999
script.js:115 35.1579675 -89.93801669999999
script.js:115 34.8380856 -89.658057
script.js:115 34.8129277 -89.93028160000001
script.js:115 34.9408333 -90.02771249999999
script.js:115 34.784259 -90.18960299999999
script.js:115 34.9669619 -89.72899079999999
script.js:115 34.7670455 -89.4353084
script.js:115 34.9829754 -89.9768067
script.js:115 34.9907104 -89.8554867
script.js:115 35.1786115 -89.9197427
script.js:115 34.854353 -89.98152669999999
script.js:115 34.8227952 -89.9960947
script.js:115 34.8974819 -90.05821999999999
script.js:115 35.1087162 -90.0241774
script.js:115 34.8278072 -89.94411439999999
script.js:115 34.8172842 -89.9257457
script.js:115 34.72905840000001 -90.1257181
script.js:115 34.8366609 -90.147775
script.js:115 35.004406 -89.73116200000001
script.js:115 35.303295 -89.96007259999999
script.js:115 34.9423257 -90.0418795
script.js:115 34.8535639 -89.86178579999999
script.js:115 34.8406744 -90.00179659999999
script.js:115 34.7852721 -89.80288510000001
script.js:115 35.04652069999999 -90.12166099999999
script.js:115 35.047781 -89.19426419999999
script.js:115 34.5797917 -89.9662487
script.js:115 34.8365998 -89.9960747
script.js:115 34.9881394 -89.9597038
script.js:115 35.2384638 -89.8180416
script.js:115 34.6028991 -90.1269201
script.js:115 34.8094396 -90.1852476
script.js:115 34.8258911 -89.98372409999999
script.js:115 34.8243162 -90.16923159999999
script.js:115 34.8813725 -90.11480979999999
script.js:115 34.7822651 -90.18848559999999
script.js:115 34.9050224 -89.8230458
script.js:115 34.7749413 -89.8554166
script.js:115 34.5695488 -90.2103717
script.js:115 34.8231257 -89.9539959
script.js:115 34.3804168 -89.8526792
script.js:115 34.9629767 -90.0256464
script.js:115 34.9918587 -90.0022958
script.js:115 34.8257578 -90.0794784
script.js:115 34.8257578 -90.0794784
script.js:115 34.9065453 -89.9626799
script.js:115 34.8194537 -90.06666159999999
script.js:115 34.8920931 -89.748502
script.js:115 34.6406986 -90.38489589999999
script.js:115 34.8043865 -90.1298194
script.js:115 34.9024648 -90.1085372
script.js:115 34.9024648 -90.1085372
script.js:115 34.78750180000001 -89.9793404
script.js:115 34.98355859999999 -90.12390260000001
script.js:115 34.81019879999999 -90.129684
script.js:115 34.880386 -89.9878123
script.js:115 34.9553618 -89.79583799999999
script.js:115 34.8931695 -90.01827279999999
script.js:115 34.9188619 -89.8499214
script.js:115 34.962944 -89.882741
script.js:115 34.6771715 -89.8730307
script.js:115 34.8257578 -90.0794784
script.js:115 34.9394579 -90.1100603
script.js:115 34.8558969 -89.7402007
script.js:115 34.8901678 -89.9740681
script.js:115 34.2795795 -89.5206633
script.js:115 35.0917005 -89.4770329
script.js:115 34.9937298 -89.79469
script.js:115 34.9459475 -89.7955161
script.js:115 34.8338786 -89.8624388
script.js:115 34.7812729 -90.0236762
script.js:115 34.8293859 -89.5671483
script.js:115 34.9085328 -89.9447995
script.js:115 34.9501314 -89.8254473
script.js:115 34.9141892 -89.9802687
script.js:115 35.0783214 -90.019795
script.js:115 35.1277967 -89.88878389999999
script.js:115 34.963222 -89.8307801
script.js:115 34.8220927 -89.99073829999999
script.js:115 35.0293558 -89.8844565
script.js:115 34.9305902 -89.79436249999999
script.js:115 34.824931 -89.99184869999999
script.js:115 35.1569594 -89.7947575
script.js:115 34.8919642 -89.9980875
script.js:115 34.9280303 -89.81490769999999
script.js:115 34.9113544 -89.9678563
script.js:115 34.832534 -90.15043999999999
script.js:115 35.055582 -90.1242924
script.js:115 34.8021464 -89.8635438
script.js:115 34.8212527 -89.9843798
script.js:115 34.8206316 -89.99632059999999
script.js:115 40.0641315 -83.0675589
script.js:115 34.8825886 -89.9251255
script.js:115 34.9881394 -89.9597038
script.js:115 34.8169786 -89.93741829999999
script.js:115 34.8505364 -89.97369400000001
script.js:115 34.6302558 -89.6474794
script.js:115 34.9618361 -89.98456580000001
script.js:115 34.7725599 -90.26074489999999
script.js:115 34.9335167 -90.0249171
script.js:115 34.962484 -89.9537359
script.js:115 34.824298 -89.9106843
script.js:115 34.9027731 -90.1124849
script.js:115 34.79488810000001 -89.85332299999999
script.js:115 35.3838412 -89.98016
script.js:115 34.8551001 -89.9200992
